Name,Description,Fulladdress,Street,Municipality,Categories,About,Plus Code,Time Zone,Price,Note,Amenities,Hotel Class,Phone,Phones,Claimed,Owner,Owner Id,Owner Link,Email,Social Medias,Review Count,Average Rating,Review URL,Google Maps URL,Google Knowledge URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image,Cid,Fid,Place Id,Kgmid
Novotel Melbourne Central,"Relaxed quarters in a modern hotel featuring a polished Italian steakhouse, a casual bar & a gym.
Set in the CBD, this upscale hotel is 3 minutes' walk from the closest train station, a 10-minute walk from Queen Victoria Market and 2 km from panoramic city views at Eureka Skydeck.
The relaxed rooms offer flat-screen TVs, free Wi-Fi, and tea and coffeemaking facilities, plus sitting areas and en suite, shower-only bathrooms. Some upgraded rooms sleep 3. Suites add baths and living rooms. Room service is available.
There's a refined Italian steakhouse, an airy Asian-fusion cafe and a laid-back bar. Other amenities include a gym, 3 meeting rooms and a business center. Parking and breakfast are available for a fee.","399 Little Lonsdale St, Melbourne VIC 3000",399 Little Lonsdale St,Melbourne VIC 3000,Hotel,,4RJ65XQ6+62,Australia/Melbourne,$239 ,,"Free Wi-Fi,Air-conditioned,Breakfast,Wi-Fi",4 stars,(03) 9929 8888,"(03) 9929 8888, +61 3 9929 8888",YES,Novotel Melbourne Central (owner),1.11685E+20,https://www.google.com/maps/contrib/111685237423624309206,,,746,4.3,https://search.google.com/local/reviews?placeid=ChIJC47so0pd1moRqNWtKSoydl4&q=hotel&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=6806683043486356904,https://www.google.com/search?kgmid=/g/11fhqlj1b8,-37.8119138,144.960071,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=A0B1&merchantid=seo-maps-AU-A0B1&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,all.accor.com,,https://lh5.googleusercontent.com/p/AF1QipOyTj-IIJ5ssgiTJKdvsGCTcCXXYdPzpmvzF9M_=w108-h92-k-no,6.80668E+18,0x6ad65d4aa3ec8e0b:0x5e76322a29add5a8,ChIJC47so0pd1moRqNWtKSoydl4,/g/11fhqlj1b8
The Howey,,"275 Little Collins St, Melbourne VIC 3000",275 Little Collins St,Melbourne VIC 3000,Hotel,,4RJ65XP8+34,Australia/Melbourne,$219 ,,"Free Wi-Fi,Air-conditioned,Wi-Fi,Parking",4 stars,(03) 9660 8888,"(03) 9660 8888, +61 3 9660 8888",YES,The Howey (owner),1.00122E+20,https://www.google.com/maps/contrib/100121768317037640537,,,69,4.3,https://search.google.com/local/reviews?placeid=ChIJ6_Zax7VC1moRBmbDHkvEF0c&q=hotel&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=5122778928074941958,https://www.google.com/search?kgmid=/g/11v3h86z7p,-37.814852,144.965347,https://www.causeway.com.au/the-howey-melbourne,causeway.com.au,,https://lh5.googleusercontent.com/p/AF1QipND2Z3UzpJ4_ns3MHGxFbMLs8IGhgqtL1SVYMgq=w138-h92-k-no,5.12278E+18,0x6ad642b5c75af6eb:0x4717c44b1ec36606,ChIJ6_Zax7VC1moRBmbDHkvEF0c,/g/11v3h86z7p
"The Ritz-Carlton, Melbourne","Upmarket hotel featuring a chic restaurant, an indoor pool & a spa, plus harbour views.
In a modern tower with views of Victoria Harbour, this upmarket hotel is a 15-minute walk from the Melbourne Convention and Exhibition Centre, 3 km from the National Gallery of Victoria and 22 km from Melbourne Airport.
Polished rooms, some with harbour views, feature floor-to-ceiling windows and TVs, as well as minifridges and Wi-Fi. Suites have separate living rooms and dining areas. Club quarters allow access to a lounge with free cocktails. Room service is available 24/7.
There's a chic restaurant with skyline views, plus a cocktail bar, an indoor infinity pool, a spa and a 24/7 fitness centre. Parking and breakfast are available.","650 Lonsdale St, Melbourne VIC 3000",650 Lonsdale St,Melbourne VIC 3000,Hotel,,4RJ65XP3+35,Australia/Melbourne,$526 ,,"Pool,Spa,Free Wi-Fi,Air-conditioned",5 stars,(03) 9122 2888,"(03) 9122 2888, +61 3 9122 2888",YES,"The Ritz-Carlton, Melbourne (owner)",1.00052E+20,https://www.google.com/maps/contrib/100051571125307229012,,,413,4.5,https://search.google.com/local/reviews?placeid=ChIJfZGGrDxd1moRMQclgXcozFo&q=hotel&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=6542648852395394865,https://www.google.com/search?kgmid=/g/11tjcdw14y,-37.8147847,144.9529471,https://www.ritzcarlton.com/en/hotels/melrz-the-ritz-carlton-melbourne/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,ritzcarlton.com,,https://lh5.googleusercontent.com/p/AF1QipOctvmWB1M5JGCKNnDAULuPUK1lxJeTkiM691nf=w138-h92-k-no,6.54265E+18,0x6ad65d3cac86917d:0x5acc287781250731,ChIJfZGGrDxd1moRMQclgXcozFo,/g/11tjcdw14y
Crown Towers Melbourne,"High-end hotel with luxurious rooms & suites, plus an indoor pool, a gym & a sophisticated bar.
A kilometer from Flinders Street railway station, this high-end hotel overlooking the Yarra River is also 1 km from both the National Gallery of Victoria and Federation Square.
The upscale rooms and suites come with free Wi-Fi, flat-screen TVs, iPod docks and city or bay views. Club level rooms add airy sitting areas and access to a lounge with complimentary breakfast and snacks. Suites have separate living areas and/or dining rooms. There's also a 1-bedroom villa with a study and a whirlpool tub.
Amenities include an indoor swimming pool, a fitness room and 2 rooftop tennis courts, plus a chic bar and a cocktail lounge.","8 Whiteman St, Southbank VIC 3006",8 Whiteman St,Southbank VIC 3006,"Hotel, Bar, Business to business service, Conference center",,4RJ65XH6+32,Australia/Melbourne,$433 ,,"Pool,Spa,Free Wi-Fi,Air-conditioned",5 stars,(03) 9292 6868,"(03) 9292 6868, +61 3 9292 6868",YES,Crown Towers Melbourne (owner),1.09456E+20,https://www.google.com/maps/contrib/109455976625475859877,,,7659,4.4,https://search.google.com/local/reviews?placeid=ChIJiUWj1VJd1moRnauuyUO9XDs&q=hotel&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=4277501844939254685,https://www.google.com/search?kgmid=/g/11c1vbddhh,-37.8223655,144.9600278,https://www.crownhotels.com.au/melbourne/crown-towers?utm_source=local-directories&utm_medium=organic&utm_campaign=travelclick-localconnect,crownhotels.com.au,,https://lh5.googleusercontent.com/p/AF1QipM2Nl74pbIXwPNw_RGMwi1iwG4VJt8lzuRuUl7i=w175-h92-k-no,4.2775E+18,0x6ad65d52d5a34589:0x3b5cbd43c9aeab9d,ChIJiUWj1VJd1moRnauuyUO9XDs,/g/11c1vbddhh
Grand Hyatt Melbourne,"Posh high-rise property offering refined quarters with city views, plus an indoor pool & a spa.
Near shops and restaurants in the Central Business District, this posh high-rise hotel is a 7-minute walk from buzzy Federation Square, and a 14-minute walk from the National Gallery of Victoria.
Refined rooms offer floor-to-ceiling windows with city views, plus Wi-Fi (fee), flat-screens, iPod docks, and tea and coffeemaking facilities. Club rooms provide access to a lounge with free Wi-Fi and breakfast. Suites add living and dining areas; some have kitchenettes and whirlpool tubs. Room service is available.
There's a fine-dining restaurant and a bistro, along with several bars. Other amenities include a heated indoor pool, a gym and a spa.","123 Collins St, Melbourne VIC 3000",123 Collins St,Melbourne VIC 3000,Resort hotel,,4RJ65XM9+WW,Australia/Melbourne,$394 ,,"Pool,Spa,Free Wi-Fi,Air-conditioned",5 stars,(03) 9657 1234,"(03) 9657 1234, +61 3 9657 1234",YES,Grand Hyatt Melbourne (owner),1.14671E+20,https://www.google.com/maps/contrib/114670539906493160590,,,4480,4.5,https://search.google.com/local/reviews?placeid=ChIJYSmyK8hC1moReCu7N75RjlM&q=hotel&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=6020839629261581176,https://www.google.com/search?kgmid=/g/11cll56wwt,-37.8152075,144.9698275,https://www.hyatt.com/grand-hyatt/en-US/melbo-grand-hyatt-melbourne?%3Fsrc=corp_lclb_google_seo_melbo&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,hyatt.com,,https://lh5.googleusercontent.com/p/AF1QipMyacHxoOSSi7FdWbAPZe75j6UaSBrnttvDvnue=w159-h92-k-no,6.02084E+18,0x6ad642c82bb22961:0x538e51be37bb2b78,ChIJYSmyK8hC1moReCu7N75RjlM,/g/11cll56wwt
"voco Melbourne Central, an IHG Hotel","Sophisticated hotel offering an outdoor infinity pool & a gym, plus a steakhouse with a bar.
Amid shops and eateries, this polished hotel in a contemporary building is a 12-minute walk from Queen Victoria Market and 3 km from the Marvel Stadium. Melbourne Central train station is a 3-minute walk away.
Refined rooms offer Wi-Fi, TVs and safes, plus minifridges, and tea and coffeemaking facilities. All feature floor-to-ceiling windows with city views. Upgraded rooms add free-standing baths.
There's a plush steakhouse with a bar and a terrace. Other amenities include an exercise room and an outdoor infinity pool. Breakfast and limited parking are available.","18 Timothy Ln, Melbourne VIC 3000",18 Timothy Ln,Melbourne VIC 3000,"Hotel, Conference center, Wedding venue",,4RJ65XQ6+3C,Australia/Melbourne,$275 ,,"Pool,Free Wi-Fi,Air-conditioned,Breakfast",4 stars,(03) 9122 5500,"(03) 9122 5500, +61 3 9122 5500",YES,"voco Melbourne Central, an IHG Hotel (owner)",1.03792E+20,https://www.google.com/maps/contrib/103792071081766845536,,,359,4.4,https://search.google.com/local/reviews?placeid=ChIJQ8RvkJZd1moRKmoxVEQopps&q=hotel&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=11215696195948210730,https://www.google.com/search?kgmid=/g/11jcml6cyy,-37.8122687,144.9610152,https://www.ihg.com/voco/hotels/us/en/melbourne/melct/hoteldetail?cm_mmc=GoogleMaps-_-VX-_-AU-_-MELCT,ihg.com,,https://lh5.googleusercontent.com/p/AF1QipOIYxx2exbXB-Xrx2O5jh5TCVyg9QTih5PpQ-BP=w138-h92-k-no,1.12157E+19,0x6ad65d96906fc443:0x9ba6284454316a2a,ChIJQ8RvkJZd1moRKmoxVEQopps,/g/11jcml6cyy
Sofitel Melbourne on Collins,"High-end hotel featuring bars & a modern brasserie, plus meeting spaces, ballrooms & a gym.
Among upscale shops on Collins Street, this premium hotel is 2 km from both the Melbourne Cricket Ground and the National Gallery of Victoria.
Classic rooms feature flat-screens, Wi-Fi (fee) and marble bathrooms and floor-to-ceiling windows. Club level rooms offer access to a lounge with perks such as breakfast and appetisers; studios and 1-bedroom suites add living areas. Room service is available. Kids age 11 and under (1 per room) stay at no charge with an adult.
Amenities include 2 trendy bars, a modern brasserie restaurant, and a lobby lounge with a fireplace. There's also a gym and a business centre, plus 12 meeting rooms and 3 ballrooms.","25 Collins St, Melbourne VIC 3000",25 Collins St,Melbourne VIC 3000,Hotel,,4RJ65XPF+C5,Australia/Melbourne,$355 ,,"Free Wi-Fi,Air-conditioned,Breakfast,Wi-Fi",5 stars,(03) 9653 0000,"(03) 9653 0000, +61 3 9653 0000",YES,Sofitel Melbourne on Collins (owner),1.12333E+20,https://www.google.com/maps/contrib/112332523433258552165,,,4100,4.6,https://search.google.com/local/reviews?placeid=ChIJAwLSzMdC1moRLo-qConKZd4&q=hotel&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=16025437539006058286,https://www.google.com/search?kgmid=/m/0wfbsfk,-37.8139965,144.9728921,http://sofitel.accor.com/hotels/1902?merchantid=seo-maps-AU-1902&sourceid=aw-cen&utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps&utm_term=Sofitel-Launch,sofitel.accor.com,,https://lh5.googleusercontent.com/p/AF1QipOAQiRdq9LY287KhU_5GVjlIMPymw9F2jcPsWkv=w137-h92-k-no,1.60254E+19,0x6ad642c7ccd20203:0xde65ca890aaa8f2e,ChIJAwLSzMdC1moRLo-qConKZd4,/m/0wfbsfk
Melbourne Marriott Hotel Docklands,"Chic rooms in an upmarket riverfront hotel with a rooftop infinity pool, plus a restaurant & bars.
In the Docklands shopping and dining district along the Yarra River, this upscale hotel is a 2-minute walk from a tram stop. It's 3 km from the Queen Victoria Market and 6 km from the Melbourne Skydeck.
Chic rooms have Wi-Fi, minifridges, and tea and coffeemaking facilities. Some offer river views. Club rooms add access to a private lounge with afternoon and evening snacks. Room service is available 24/7.
A rooftop terrace features an infinity pool, a kids' pool, a hot tub, and a bar serving small plates. Other amenities include a modern restaurant, a sleek cocktail bar and a coffee shop, as well as a gym. Breakfast and parking are available.","15 Waterfront Way, Docklands VIC 3008",15 Waterfront Way,Docklands VIC 3008,"Hotel, Meeting planning service",,4RJ65WPQ+GP,Australia/Melbourne,$265 ,,"Pool,Free Wi-Fi,Air-conditioned,Breakfast",5 stars,(03) 8638 6000,"(03) 8638 6000, +61 3 8638 6000",YES,Melbourne Marriott Hotel Docklands (owner),1.02468E+20,https://www.google.com/maps/contrib/102468391193328661921,,,457,4.2,https://search.google.com/local/reviews?placeid=ChIJ5U45UxBd1moR8vQTvM_Clf4&q=hotel&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=18344782854633026802,https://www.google.com/search?kgmid=/g/11hytnqp6r,-37.8136885,144.9392881,https://www.marriott.com/en-us/hotels/meldl-melbourne-marriott-hotel-docklands/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,marriott.com,,https://lh5.googleusercontent.com/p/AF1QipMZe-W_dirMq5YivBsVLG7FcdUS82GWCzexlx_l=w138-h92-k-no,1.83448E+19,0x6ad65d1053394ee5:0xfe95c2cfbc13f4f2,ChIJ5U45UxBd1moR8vQTvM_Clf4,/g/11hytnqp6r
"The Langham, Melbourne","Elegant lodging with river & city views, plus a spa, an indoor pool & a refined buffet restaurant.
Near shops and restaurants on the buzzy Southbank Promenade along the Yarra River, this luxe hotel is 13 minutes' walk from Crown Casino and a 2-minute walk from Flinders Street train station.
Refined rooms with handmade furniture feature smart TVs, minibars and free Wi-Fi. Upgraded rooms have river or city views, and some include patios or balconies. Club-level rooms add access to a lounge with complimentary breakfast, Suites provide whirlpool baths; upgraded suites offer kitchens. Room service is available 24/7.
There's a posh buffet restaurant with river views, and a chic lounge bar, plus a sleek spa, an indoor pool and a gym.","1 Southgate Ave, Southbank VIC 3006",1 Southgate Ave,Southbank VIC 3006,Hotel,,4RJ65XH8+V7,Australia/Melbourne,$394 ,,"Pool,Spa,Free Wi-Fi,Air-conditioned",5 stars,(03) 8696 8888,"(03) 8696 8888, +61 3 8696 8888",YES,"The Langham, Melbourne (owner)",1.04483E+20,https://www.google.com/maps/contrib/104482708608033048509,,,2520,4.4,https://search.google.com/local/reviews?placeid=ChIJQ8ty17NC1moRVPjumQ0x3zw&q=hotel&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=4386278496569063508,https://www.google.com/search?kgmid=/m/03c91rg,-37.82037,144.96571,https://www.langhamhotels.com/en/the-langham/melbourne/,langhamhotels.com,,https://lh5.googleusercontent.com/p/AF1QipMpxzWtm134G0roCWGUYpX1Z9UMOF_y2X66leXe=w119-h92-k-no,4.38628E+18,0x6ad642b3d772cb43:0x3cdf310d99eef854,ChIJQ8ty17NC1moRVPjumQ0x3zw,/m/03c91rg
Mantra on Jolimont Melbourne,"Informal apartment hotel featuring a restaurant/bar with a terrace, plus an outdoor pool & a gym.
A 6-minute walk from the William Barak Bridge/Melbourne Park tram stop, this informal apartment hotel is also a 7-minute walk from Melbourne Cricket Ground and 1 km from Federation Square.
The relaxed studios offer flat-screen TVs and Wi-Fi (fee), as well as kitchenettes. The 1- and 2-bedroom apartments have full kitchens and separate living rooms. Room service is available.
There's a casual restaurant with a terrace and a bar. Other amenities include a heated outdoor pool, a hot tub and a gym, plus a business centre and laundry facilities. Parking is available (surcharge).","133 Jolimont Rd, East Melbourne VIC 3002",133 Jolimont Rd,East Melbourne VIC 3002,Hotel,,4RJ65XJH+R8,Australia/Melbourne,$217 ,,"Pool,Free breakfast,Free Wi-Fi,Air-conditioned",4 stars,(03) 9940 2100,"(03) 9940 2100, +61 3 9940 2100",YES,Mantra on Jolimont Melbourne (owner),1.11661E+20,https://www.google.com/maps/contrib/111661427636865640442,,,709,3.8,https://search.google.com/local/reviews?placeid=ChIJ1_wjWb9C1moRmuKIj8WTiEc&q=hotel&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=5154532250251485850,https://www.google.com/search?kgmid=/g/1ptyqv4s4,-37.8179914,144.9783113,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=B3N7&merchantid=seo-maps-AU-B3N7&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,all.accor.com,,https://lh5.googleusercontent.com/p/AF1QipPm67I3ZoQPVnu2g41i4c5pvgnF8ImkKnHYEsuO=w138-h92-k-no,5.15453E+18,0x6ad642bf5923fcd7:0x478893c58f88e29a,ChIJ1_wjWb9C1moRmuKIj8WTiEc,/g/1ptyqv4s4
Hilton Melbourne Little Queen Street,"Bright quarters, some with city views, in an upmarket hotel offering a cocktail bar & a restaurant.
Set in a commercial area with eateries, this polished hotel is 1 km from the National Gallery of Victoria, a 13-minute walk from the bustling Queen Victoria Market and 7 minutes on foot from the Flagstaff train station.
Bright rooms come with Wi-Fi, smart TVs and sitting areas, along with blackout curtains and rainfall showers. Upgraded rooms have floor-to-ceiling windows and/or city views. Suites add living areas or separate living rooms. Connecting rooms are offered. Room service is available.
Amenities include an art deco style cocktail bar and a refined restaurant, along with a fitness centre. Breakfast and parking are available.","18 Little Queen St, Melbourne VIC 3000",18 Little Queen St,Melbourne VIC 3000,"Hotel, Event venue",,4RJ65XP5+3R,Australia/Melbourne,$309 ,,"Air-conditioned,Breakfast,Wi-Fi,Parking",5 stars,(03) 9116 8888,"(03) 9116 8888, +61 3 9116 8888",YES,Hilton Melbourne Little Queen Street (owner),1.14027E+20,https://www.google.com/maps/contrib/114027251114018965557,,,520,4.4,https://search.google.com/local/reviews?placeid=ChIJW3Tj5exd1moRi1YJgr_hu0k&q=hotel&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=5313088398050285195,https://www.google.com/search?kgmid=/g/11h8wtn1l7,-37.8148568,144.9595174,https://www.hilton.com/en/hotels/melamhi-hilton-melbourne-little-queen-street/?SEO_id=GMB-APAC-HI-MELAMHI,hilton.com,,https://lh5.googleusercontent.com/p/AF1QipMxbPO7ujLMdV06kshitp-18W5kVbo7g82Cs2U=w80-h92-k-no,5.31309E+18,0x6ad65dece5e3745b:0x49bbe1bf8209568b,ChIJW3Tj5exd1moRi1YJgr_hu0k,/g/11h8wtn1l7
Pullman Melbourne City Centre,"Down-to-earth rooms & suites in a contemporary hotel offering a restaurant & a bar, plus a gym.
This modern hotel is 0.8 km from Federation Square, a 10-minute walk from Flinders Street Railway Station and 1.3 km from the National Gallery of Victoria.
The relaxed rooms have Wi-Fi (fee) and flat-screen TVs, as well as minibars, microwaves, and tea and coffeemaking facilities. Suites add separate living and dining areas. Room service is available 24/7.
There's an informal restaurant, an airy cafe and a cocktail bar, as well as a fitness room. Parking is available.","265 Little Bourke St, Melbourne VIC 3000",265 Little Bourke St,Melbourne VIC 3000,Hotel,,4RJ65XP7+VW,Australia/Melbourne,$279 ,,"Free Wi-Fi,Air-conditioned,Breakfast,Wi-Fi",5 stars,(03) 9663 4711,"(03) 9663 4711, +61 3 9663 4711",YES,Pullman Melbourne City Centre (owner),1.0518E+20,https://www.google.com/maps/contrib/105179786877455521237,,,1387,4,https://search.google.com/local/reviews?placeid=ChIJHQxSE8pC1moRdM3F9Sno6hk&q=hotel&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=1867560262413176180,https://www.google.com/search?kgmid=/g/1tfz07p2,-37.81282,144.9647544,https://all.accor.com/hotel/3028/index.en.shtml?goto=fiche_hotel&code_hotel=3028&merchantid=seo-maps-AU-3028&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,all.accor.com,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGjIE89ro1vTbVXYD0RWGwo6908l-6OOxnjLtDuD6Pfv8YUretyvvcvbwdCN_UvNZLsg5tJoR9LAFJzDx6O2O8-usKKR4CuRUf927PTmNtp92lmTZ4keEcjAJr67HqKzFGmXqQ86sCZIcI8046E19SG2ckLIfXbSLgn969LydpQuC8LaB6n5UXD=w122-h92-k-no,1.86756E+18,0x6ad642ca13520c1d:0x19eae829f5c5cd74,ChIJHQxSE8pC1moRdM3F9Sno6hk,/g/1tfz07p2
Hyatt Centric Melbourne,"Minimalist rooms in an upmarket hotel offering an indoor pool, a modern restaurant & bay views.
Featuring views of the Yarra River and Port Philip Bay, this upscale hotel is a 14-minute walk from Melbourne Skydeck, 1 km from the Federation Square cultural hub and 5 minutes on foot from Southern Cross railway station.
Minimalist rooms provide smart TVs, Chromecast and Wi-Fi, as well as Nespresso machines, kettles and minifridges. Upgraded rooms add balconies and/or bay views.
There's a modern restaurant, a cafe, and a bar with river views. Breakfast is available. Other amenities include an indoor pool, a gym and a terrace, plus parking.","25 Downie St, Melbourne VIC 3000",25 Downie St,Melbourne VIC 3000,Hotel,,4RJ65XH4+W6,Australia/Melbourne,$229 ,,"Pool,Free Wi-Fi,Air-conditioned,Breakfast",5 stars,(03) 9120 1234,"(03) 9120 1234, +61 3 9120 1234",YES,Hyatt Centric Melbourne (owner),1.06081E+20,https://www.google.com/maps/contrib/106081014303307098049,,,381,4.3,https://search.google.com/local/reviews?placeid=ChIJaxp09lFd1moRixjn1iU6cb8&q=hotel&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=13794871067806210187,https://www.google.com/search?kgmid=/g/11kmc9gk79,-37.8202336,144.9555669,https://www.hyatt.com/hyatt-centric/en-US/melct-hyatt-centric-melbourne?%3Fsrc=corp_lclb_google_seo_melct&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,hyatt.com,,https://lh5.googleusercontent.com/p/AF1QipNsrEuDqD229pN42JifIhDf5u2fOlcDBq26nmjK=w137-h92-k-no,1.37949E+19,0x6ad65d51f6741a6b:0xbf713a25d6e7188b,ChIJaxp09lFd1moRixjn1iU6cb8,/g/11kmc9gk79
Novotel Melbourne on Collins,"Contemporary hotel offering an airy restaurant & a bar, plus an indoor pool & a gym.
This contemporary hotel is a 5-minute walk from Flinders Street rail station, 1.1 km from the historic Princess Theatre and 1.5 km from Crown Casino and Entertainment Complex.
The streamlined rooms and suites come with 40-inch flat-screen TVs, iPod docks and Wi-Fi (paid). They also include minibars and tea and coffeemaking facilities. Upgraded units add sofabeds. Room service is available.
There's an airy restaurant and a bar, as well as a gym and an indoor pool. Other amenities include an airport shuttle, laundry facilities and valet parking. Babysitting services are available for a fee.","270 Collins St, Melbourne VIC 3000",270 Collins St,Melbourne VIC 3000,Hotel,,4RJ65XM7+MW,Australia/Melbourne,$246 ,,"Pool,Free Wi-Fi,Air-conditioned,Breakfast",5 stars,(03) 9667 5800,"(03) 9667 5800, +61 3 9667 5800",YES,Novotel Melbourne on Collins (owner),1.05084E+20,https://www.google.com/maps/contrib/105084319505053629581,,,2486,4.1,https://search.google.com/local/reviews?placeid=ChIJvV3BTrRC1moRdkk9WaX7b8Q&q=hotel&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=14154808841434122614,https://www.google.com/search?kgmid=/g/1vh_8j4l,-37.8157663,144.9648408,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=1587&merchantid=seo-maps-AU-1587&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,all.accor.com,,https://lh5.googleusercontent.com/p/AF1QipPAt4WvqaWK6xq92KOiGWysngO9Dq6_3Wg-LlR9=w80-h119-k-no,1.41548E+19,0x6ad642b44ec15dbd:0xc46ffba5593d4976,ChIJvV3BTrRC1moRdkk9WaX7b8Q,/g/1vh_8j4l
Le M¨¦ridien Melbourne,"Genteel hotel featuring chic rooms & suites, plus a French restaurant & an outdoor pool.
On a street lined with eateries and shops, this refined hotel with an art deco facade is a 7-minute walk from Parliament House, 9 minutes on foot from Chinatown and a minute's walk from a tram stop.
Chic rooms, some with Parliament House views, feature floor-to-ceiling windows, Wi-Fi and TVs, as well as minifridges, and tea and coffeemaking equipment. The 1- and 2-bedroom suites, some with dining tables, have separate living rooms.
There's a French restaurant and an art deco style cafe/bar, plus a 24/7 gym. Other amenities include an outdoor heated pool and a poolside bar with skyline views. Breakfast and parking are available.","20 Bourke St, Melbourne VIC 3000",20 Bourke St,Melbourne VIC 3000,"Hotel, Meeting planning service, Wedding venue",,4RJ65XQC+CW,Australia/Melbourne,$349 ,,"Pool,Free Wi-Fi,Air-conditioned,Wi-Fi",5 stars,(03) 9123 3900,"(03) 9123 3900, +61 3 9123 3900",YES,Le M¨¦ridien Melbourne (owner),1.09113E+20,https://www.google.com/maps/contrib/109112657512680751429,,,234,4.2,https://search.google.com/local/reviews?placeid=ChIJz6MTEPlD1moRgygkads4dVA&q=hotel&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=5797602610322352259,https://www.google.com/search?kgmid=/g/11tn4n5w50,-37.8114783,144.9722712,https://www.marriott.com/en-us/hotels/melmd-le-meridien-melbourne/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,marriott.com,,https://lh5.googleusercontent.com/p/AF1QipOMFRFgeISZsbfWczScLsKgU2iaG97isVmuh32M=w138-h92-k-no,5.7976E+18,0x6ad643f91013a3cf:0x507538db69242883,ChIJz6MTEPlD1moRgygkads4dVA,/g/11tn4n5w50
YTI Garden Hotel,"Unassuming hotel in the city centre offering warm rooms & apartments, plus complimentary Wi-Fi.
In the Central Business District, this down-to-earth hotel is a 1-minute walk from the nearest tram stop and a 14-minute walk from the Queen Victoria Market.
Warmly decorated rooms feature free Wi-Fi, flat-screen TVs and fridges, plus tea and coffeemaking facilities. Simple apartments, ranging from studios to 2-bedroom units, add kitchenettes. Children age 12 and under stay with adults at no extra cost.
Coin-operated laundry facilities are available.","378 Little Bourke St, Melbourne VIC 3000",378 Little Bourke St,Melbourne VIC 3000,Hotel,,4RJ65XP6+JH,Australia/Melbourne,$133 ,,"Free Wi-Fi,Air-conditioned,Wi-Fi,Kitchen",3 stars,(03) 9600 4000,"(03) 9600 4000, +61 3 9600 4000",NO,YTI Garden Hotel (owner),,,,,441,3.5,https://search.google.com/local/reviews?placeid=ChIJGTC_M7VC1moRF6vceb9zfQ8&q=hotel&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=1116175548878203671,https://www.google.com/search?kgmid=/g/1tgb7hcg,-37.8134773,144.9614874,https://www.ytigarden.com/,ytigarden.com,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEWdnsRz84zyj7nxP7RNKDtMyneBs1DL-7RONrsxTCATWexclwbMrHAs536P6W7TH_9j_Ao9FnJMNJFgsNINWesS-0dLbJpKv2k7e3MADvD-2o9HXA5KLMcis0EEXB82iX31NBQbmK_fJC0F0yrmw72KQpI5ZlzAS1p7y2oda3Ns04t1V3UgLhIFQ=w138-h92-k-no,1.11618E+18,0x6ad642b533bf3019:0xf7d73bf79dcab17,ChIJGTC_M7VC1moRF6vceb9zfQ8,/g/1tgb7hcg
